16.93,24.93,1,-16.93%,"Claims adjusters, appraisers, examiners, and investigators",47216,56836
16.91,24.91,1,-16.91%,"Wholesale and retail buyers, except farm products",41912,50440
16.81,24.81,1,-16.81%,First-line supervisors of food preparation and serving workers,25220,30316
16.33,24.33,1,-16.33%,Advertising sales agents,45292,54132
16.09,24.09,1,-16.09%,Medical and health services managers,63180,75296
16.07,24.07,1,-16.07%,"Software developers, applications and systems software",75764,90272
15.85,23.85,1,-15.85%,General and operations managers,59072,70200
15.56,23.56,1,-15.56%,Miscellaneous agricultural workers,19188,22724
15.54,23.54,1,-15.54%,Secretaries and administrative assistants,35620,42172
15.38,23.38,1,-15.38%,"Electrical, electronics, and electromechanical assemblers",26312,31096
15.37,23.37,1,-15.37%,Operations research analysts,64116,75764
15.09,23.09,1,-15.09%,Licensed practical and licensed vocational nurses,38324,45136
15.04,23.04,1,-15.04%,"Arts, design, entertainment, sports, and media occupations",45240,53248
14.9,22.9,1,-14.90%,"Butchers and other meat, poultry, and fish processing workers",23764,27924
14.9,22.9,1,-14.90%,"Purchasing agents, except wholesale, retail, and farm products",46644,54808
14.84,22.84,1,-14.84%,"Life, physical, and social science occupations",55224,64844
14.83,22.83,1,-14.83%,Teacher assistants,25688,30160
14.36,22.36,1,-14.36%,Social and community service managers,50856,59384
13.94,21.94,1,-13.94%,"Packers and packagers, hand",20540,23868
13.77,21.77,1,-13.77%,Computer systems analysts,65468,75920
13.64,21.64,1,-13.64%,Receptionists and information clerks,27664,32032
13.41,21.41,1,-13.41%,Computer programmers,65156,75244
13.27,21.27,1,-13.27%,Computer and information systems managers,79508,91676
13.18,21.18,1,-13.18%,Customer service representatives,31512,36296
12.82,20.82,1,-12.82%,"Laborers and freight, stock, and material movers, hand",24752,28392
12.77,20.77,1,-12.77%,Elementary and middle school teachers,49712,56992
12.73,20.73,1,-12.73%,Security guards and gaming surveillance officers,26728,30628
12.59,20.59,1,-12.59%,Pharmacists,98904,113152
12.55,20.55,1,-12.55%,First-line supervisors of non-retail sales workers,45656,52208
12.43,20.43,1,-12.43%,Dispatchers,34788,39728
12.3,20.3,1,-12.30%,"Computer occupations, all other",51168,58344
12.14,20.14,1,-12.14%,Healthcare support occupations,25584,29120
12.01,20.01,1,-12.01%,"Installation, maintenance, and repair occupations",37700,42848
11.78,19.78,1,-11.78%,Community and social service occupations,42848,48568
11.74,19.74,1,-11.74%,"Nursing, psychiatric, and home health aides",24232,27456
11.72,19.72,1,-11.72%,Compliance officers,56784,64324
11.65,19.65,1,-11.65%,Chefs and head cooks,27612,31252
11.57,19.57,1,-11.57%,Physical therapists,67964,76856
11.37,19.37,1,-11.37%,"Property, real estate, and community association managers",44980,50752
11.19,19.19,1,-11.19%,Secondary school teachers,51168,57616
10.86,18.86,1,-10.86%,Insurance claims and policy processing clerks,32864,36868
10.37,18.37,1,-10.37%,Emergency medical technicians and paramedics,36868,41132
9.84,17.84,1,-9.84%,"Bookkeeping, accounting, and auditing clerks",34320,38064
9.58,17.58,1,-9.58%,Registered nurses,55952,61880
9.5,17.5,1,-9.50%,Food preparation and serving related occupations,21788,24076
9.46,17.46,1,-9.46%,Bakers,24388,26936
9.32,17.32,1,-9.32%,Civil engineers,66300,73112
9.13,17.13,1,-9.13%,Office and administrative support occupations,33124,36452
9.01,17.01,1,-9.01%,"Bailiffs, correctional officers, and jailers",35724,39260
8.72,16.72,1,-8.72%,Construction and extraction occupations,35932,39364
8.62,16.62,1,-8.62%,Packaging and filling machine operators and tenders,24804,27144
8.6,16.6,1,-8.60%,Personal care aides,22100,24180
8.44,16.44,1,-8.44%,Special education teachers,51324,56056
8.17,16.17,1,-8.17%,Data entry keyers,32136,34996
7.68,15.68,1,-7.68%,"Miscellaneous life, physical, and social science technicians",41860,45344
6.83,14.83,1,-6.83%,Clinical laboratory technologists and technicians,42536,45656
6.8,14.8,1,-6.80%,Tellers,26364,28288
6.59,14.59,1,-6.59%,Purchasing managers,66352,71032
6.1,14.1,1,-6.10%,Counselors,43212,46020
6.07,14.07,1,-6.07%,Cashiers,20124,21424
5.94,13.94,1,-5.94%,Social workers,43628,46384
5.52,13.52,1,-5.52%,Bus drivers,30264,32032
5.44,13.44,1,-5.44%,"Office clerks, general",32552,34424
4.48,12.48,1,-4.48%,"Shipping, receiving, and traffic clerks",29952,31356
2.86,10.86,1,-2.86%,"Combined food preparation and serving workers, including fast food",19396,19968
2.64,10.64,1,-2.64%,Cooks,21060,21632
2.43,10.43,1,-2.43%,Food preparation workers,20852,21372
0.99,8.99,1,-0.99%,Maids and housekeeping cleaners,20800,21008
0,0,2,0.00%,Health practitioner support technologists and technicians,32136,32136
1.98,9.98,2,1.98%,Stock clerks and order fillers,26728,26208
0,0,2,,Laundry and dry-cleaning workers,21320,
